1697435823921915904,-0.00361 -0.04689  0.00741,0.04761, 0.00201  0.00058 -0.00878,0.00903,0.00266,
1697435823989166336, 0.00229 -0.02642  0.00895,0.02799,-0.00044  0.00039  0.00045,0.00074,0.00261,
1697435824056426496, 0.00413 -0.02546  0.00856,0.02718,-0.00059  0.00043 -0.00045,0.00086,0.00261,
1697435824123697408, 0.00260 -0.02458  0.00757,0.02585,-0.00077  0.00021 -0.00231,0.00244,0.00261,
1697435824190977024,-0.00155 -0.02368  0.00254,0.02386,-0.00123 -0.00052 -0.00644,0.00658,0.00261,
1697435824258268416,-0.00564 -0.01889 -0.00074,0.01973,-0.00188 -0.00056 -0.00241,0.00310,0.00263,
1697435824325569536,-0.00564 -0.01889 -0.00074,0.01973,-0.00188 -0.00056 -0.00241,0.00310,0.00266,
1697435824392439296,-0.00056 -0.00745  0.00499,0.00898,-0.00246  0.00114  0.01222,0.01252,0.00266,
1697435824458871552,-0.00013 -0.00067 -0.00178,0.00191,-0.00237  0.00418  0.03052,0.03090,0.00266,
1697435824525299200,-0.00003  0.00163 -0.00416,0.00447,-0.00284  0.00415  0.03055,0.03097,0.00267,
1697435824591722752, 0.00106  0.00607 -0.00430,0.00751,-0.00292  0.00476  0.03855,0.03895,0.00268,
1697435824658140416, 0.00043  0.00774 -0.00559,0.00956,-0.00332  0.00459  0.04057,0.04096,0.00269,
1697435824724555008,-0.00072  0.00540 -0.00288,0.00617,-0.00293  0.00546  0.03906,0.03955,0.00270,
1697435824790964992,-0.00158  0.00273 -0.00345,0.00467,-0.00177  0.00711  0.03775,0.03845,0.00271,
1697435824857370624,-0.00235  0.00096 -0.00183,0.00313,-0.00085  0.00861  0.03741,0.03840,0.00272,
1697435824923771648,-0.00184 -0.00037 -0.00245,0.00309,0.00051 0.01218 0.03977,0.04160,0.00274,
1697435824990168832,-0.00180 -0.00040 -0.00277,0.00332,0.00071 0.01176 0.03707,0.03890,0.00277,
1697435825056560896,-0.00187 -0.00154 -0.00231,0.00335,0.00193 0.01382 0.03989,0.04226,0.00280,
1697435825122947840,-0.00143 -0.00129 -0.00281,0.00340,0.00214 0.01384 0.03966,0.04206,0.00283,
1697435825189331200,-0.00133 -0.00100 -0.00300,0.00343,0.00207 0.01298 0.03831,0.04050,0.00287,
1697435825255710464,-0.00087 -0.00110 -0.00318,0.00347,0.00396 0.01055 0.03468,0.03647,0.00290,
1697435825322085120,-0.00097 -0.00135 -0.00304,0.00347,0.00604 0.00870 0.03073,0.03250,0.00295,
1697435825388491520,-0.00040 -0.00063 -0.00324,0.00332,0.00411 0.00906 0.03221,0.03371,0.00299,
1697435825454926336,-0.00041 -0.00063 -0.00305,0.00314,0.00306 0.01062 0.03369,0.03546,0.00302,
1697435825521355520,-0.00001 -0.00080 -0.00295,0.00305,0.00578 0.00962 0.03060,0.03259,0.00306,
1697435825587781376, 0.00029 -0.00126 -0.00300,0.00327,0.00999 0.00913 0.02608,0.02938,0.00310,
1697435825654203136, 0.00020 -0.00172 -0.00292,0.00339,0.01268 0.00893 0.02374,0.02836,0.00315,
1697435825720620032,-0.00019 -0.00213 -0.00279,0.00352,0.01392 0.00980 0.02278,0.02844,0.00321,
1697435825787032832, 0.00013 -0.00212 -0.00255,0.00332,0.01558 0.00908 0.02114,0.02778,0.00326,
1697435825853441280, 0.00013 -0.00229 -0.00257,0.00344,0.01713 0.00845 0.01929,0.02715,0.00331,
1697435825919845120, 0.00012 -0.00273 -0.00216,0.00348,0.02074 0.00867 0.01466,0.02683,0.00337,
1697435825986243840, 0.00008 -0.00275 -0.00222,0.00354,0.01948 0.00942 0.01601,0.02692,0.00344,
1697435826052638976,-0.00004 -0.00278 -0.00138,0.00311,0.02122 0.00883 0.01387,0.02684,0.00349,
1697435826119029504,-0.00019 -0.00290 -0.00129,0.00318,0.02116 0.00943 0.01312,0.02662,0.00354,
1697435826185415936,-0.00031 -0.00298 -0.00146,0.00334,0.02238 0.00812 0.01189,0.02661,0.00360,
1697435826251798016,-0.00086 -0.00311 -0.00015,0.00323,0.02621 0.00675 0.00754,0.02810,0.00366,
1697435826318175488,-0.00093 -0.00299  0.00006,0.00313,0.02989 0.00586 0.00484,0.03084,0.00374,
1697435826384584192,-0.00101 -0.00296  0.00131,0.00339,0.02899 0.01096 0.00054,0.03100,0.00379,
1697435826451020288,-0.00103 -0.00286  0.00127,0.00329, 0.03084  0.00933 -0.00002,0.03222,0.00385,
1697435826517453056,-0.00103 -0.00277  0.00123,0.00320, 0.03171  0.00897 -0.00054,0.03296,0.00391,
1697435826583881216,-0.00079 -0.00276  0.00078,0.00297, 0.04093  0.00531 -0.00114,0.04129,0.00398,
1697435826650305024,-0.00077 -0.00261  0.00079,0.00283, 0.03888  0.00773 -0.00011,0.03964,0.00406,
