1700030415399691008,-0.00170,-0.00036,0.00611,0.00635,-0.00050,0.00047,0.01461,0.01462
1700030415467052544,-0.00168,-0.00089,0.00622,0.00650,-0.00193,-0.00013,0.00829,0.00851
1700030415534420480,-0.00402,0.00188,0.00534,0.00694,-0.00291,-0.00204,0.01104,0.01160
1700030415601795072,-0.00680,0.00260,0.00429,0.00845,-0.00616,-0.00278,0.00992,0.01200
1700030415669176576,-0.00776,0.00359,0.00360,0.00927,-0.00635,-0.00330,0.01110,0.01321
1700030415736564736,-0.00866,0.00379,0.00370,0.01015,-0.00637,-0.00367,0.01108,0.01330
1700030415803959552,-0.00866,0.00379,0.00370,0.01015,-0.00637,-0.00367,0.01108,0.01330
1700030415871361280,-0.00876,0.00308,0.00350,0.00992,-0.00559,-0.00306,0.01503,0.01632
1700030415938769920,-0.00619,0.00183,0.00426,0.00773,-0.00770,-0.00032,0.01976,0.02121
1700030416006184960,-0.00757,0.00249,0.00547,0.00966,-0.01109,-0.00346,0.01099,0.01599
1700030416073535232,-0.00451,0.00814,0.00715,0.01173,-0.01282,0.00124,0.00620,0.01430
1700030416140360192,-0.00412,0.00665,0.00697,0.01047,-0.01442,-0.00182,0.00233,0.01472
1700030416206819584,-0.00383,0.00660,0.00659,0.01008,-0.01256,-0.00427,-0.00172,0.01338
1700030416273274624,-0.00383,0.00660,0.00659,0.01008,-0.01256,-0.00427,-0.00172,0.01338
1700030416339725312,-0.00383,0.00660,0.00659,0.01008,-0.01256,-0.00427,-0.00172,0.01338
1700030416406171136,-0.00383,0.00660,0.00659,0.01008,-0.01256,-0.00427,-0.00172,0.01338
1700030416472612608,-0.00368,0.00402,0.00789,0.00959,-0.02178,-0.00516,0.01433,0.02658
1700030416539049472,-0.00321,0.00334,0.00830,0.00950,-0.02375,-0.00747,0.01634,0.02978
1700030416605481472,-0.00362,0.00287,0.00864,0.00980,-0.02211,-0.00786,0.01796,0.02955
1700030416671909120,-0.00362,0.00287,0.00864,0.00980,-0.02211,-0.00786,0.01796,0.02955
1700030416738332160,-0.00306,0.00215,0.00952,0.01023,-0.02293,-0.01236,0.01261,0.02894
1700030416804750336,-0.00306,0.00215,0.00952,0.01023,-0.02293,-0.01236,0.01261,0.02894
1700030416871164672,-0.00306,0.00215,0.00952,0.01023,-0.02293,-0.01236,0.01261,0.02894
1700030416937573632,-0.00306,0.00215,0.00952,0.01023,-0.02293,-0.01236,0.01261,0.02894
1700030417003978496,-0.00306,0.00215,0.00952,0.01023,-0.02293,-0.01236,0.01261,0.02894
1700030417070378752,-0.00306,0.00215,0.00952,0.01023,-0.02293,-0.01236,0.01261,0.02894
1700030417136712192,-0.00306,0.00215,0.00952,0.01023,-0.02293,-0.01236,0.01261,0.02894
1700030417203898112,-0.00369,0.00171,0.00950,0.01033,-0.02576,-0.00797,0.01610,0.03140
1700030417271088640,-0.00369,0.00171,0.00950,0.01033,-0.02576,-0.00797,0.01610,0.03140
1700030417338284032,-0.00369,0.00171,0.00950,0.01033,-0.02576,-0.00797,0.01610,0.03140
1700030417405483776,-0.00369,0.00171,0.00950,0.01033,-0.02576,-0.00797,0.01610,0.03140
1700030417472688128,-0.00420,0.00238,0.00929,0.01047,-0.02422,-0.00525,0.00940,0.02650
1700030417539897088,-0.00485,0.00308,0.00909,0.01076,-0.02281,-0.00230,0.00937,0.02477
1700030417607110912,-0.00506,0.00337,0.00895,0.01081,-0.02159,-0.00137,0.00754,0.02291
1700030417674329344,-0.00495,0.00123,0.00877,0.01015,-0.02077,-0.00271,0.00586,0.02174
1700030417741552640,-0.00436,0.00038,0.00823,0.00932,-0.01924,-0.00450,0.00569,0.02056
1700030417808780288,-0.00411,0.00254,0.00938,0.01055,-0.02254,-0.00729,0.01267,0.02687
1700030417876012544,-0.00411,0.00254,0.00938,0.01055,-0.02254,-0.00729,0.01267,0.02687
1700030417943249408,-0.00394,0.00259,0.00945,0.01056,-0.02186,-0.00810,0.01471,0.02757
1700030418010490880,-0.00394,0.00259,0.00945,0.01056,-0.02186,-0.00810,0.01471,0.02757
1700030418077737216,-0.00366,0.00255,0.00961,0.01060,-0.02068,-0.00989,0.01098,0.02541
1700030418144988416,-0.00368,0.00255,0.00961,0.01060,-0.02069,-0.00980,0.01088,0.02535
1700030418211922432,-0.00368,0.00255,0.00961,0.01060,-0.02069,-0.00980,0.01088,0.02535
1700030418279016704,-0.00368,0.00255,0.00961,0.01060,-0.02069,-0.00980,0.01088,0.02535
1700030418346114048,-0.00368,0.00255,0.00961,0.01060,-0.02069,-0.00980,0.01088,0.02535
1700030418413215232,-0.00357,0.00255,0.00963,0.01058,-0.01942,-0.01095,0.00248,0.02243
1700030418480318976,-0.00450,0.00291,0.00926,0.01070,-0.01854,-0.00958,0.00810,0.02238
1700030418547426048,-0.00382,0.00102,0.00976,0.01053,-0.02657,-0.01538,0.01424,0.03384
1700030418614536192,-0.00382,0.00102,0.00976,0.01053,-0.02657,-0.01538,0.01424,0.03384
1700030418681649664,-0.00382,0.00102,0.00976,0.01053,-0.02657,-0.01538,0.01424,0.03384
1700030418748766208,-0.00382,0.00102,0.00976,0.01053,-0.02657,-0.01538,0.01424,0.03384
1700030418815885824,-0.00382,0.00102,0.00976,0.01053,-0.02657,-0.01538,0.01424,0.03384
1700030418883008768,-0.00382,0.00102,0.00976,0.01053,-0.02657,-0.01538,0.01424,0.03384
1700030418950134784,-0.00382,0.00102,0.00976,0.01053,-0.02657,-0.01538,0.01424,0.03384
1700030419017263872,-0.00382,0.00102,0.00976,0.01053,-0.02657,-0.01538,0.01424,0.03384
